id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
3TV9E,WG9D,Kitchen,5,7,Yes,A person in the kitchen is sneezing while doing the dishes. The start smiling and drink a cup of coffee.,coffee;cup;dish;sink,"A person standing in a kitchen and sneezing while washing dishes, then the person picks up a cup of coffee and drinks.;A person is ding dishes they sneeze several times and then they drink their coffee.",c119 0.00 10.20;c153 2.00 7.40;c106 6.60 11.00;c110 3.10 8.70;c107 3.90 11.00;c118 0.00 9.50;c121 0.00 8.00;c120 0.40 9.90,10.12
4UR1F,ECB2,Bedroom,4,7,Yes,A person is standing next to the bed.  The person is holding a pillow then sneezes.,pillow,A person is standing in their room holding a pillow and they sneeze on it.,c076 0.00 4.00;c153 0.00 4.00,3
7ARCD,Q4IF,Bedroom,4,7,Yes,A person next to a blanket on a table smiles and puts a cup down.,blanket;cup;dish;glass;medicine;table,A MAN IS HOLDING A CUP AND PLACES THE CUP ON A TABLE WHILE STANDING IN FRONT OF AN OPEN DOOR IN A BEDROOM/HALLWAY,c009 0.90 5.00;c107 0.00 5.00;c109 0.40 5.00;c119 0.40 5.00,4.21
99GC2,WG9D,Bedroom,4,7,Yes,A person is sitting down in a chair in their bedroom while playing with their phone. They start sneezing.,chair;phone,A person is playing on the phone while sneezing.,c059 0.00 6.00;c015 0.00 3.80;c016 0.00 6.00;c153 1.80 6.00,4.62
9X8YH,WG9D,Dining room,3,7,Yes,One person runs in with a box of food and puts it down by a phone and a jar of medicine.,book;box;table,The person is placing a box onto a table.;A person walks over to a table and sets a book down on the table.,c009 0.00 4.00;c028 0.00 4.00;c042 0.00 5.00,3.58
AZ7YC,WG9D,Entryway (A hall that is generally located at the entrance of a house),5,4,Yes,A person holding a sandwich starts laughing after opening a small box.,box;doorway;food;objects;sandwich;unclear,A person walks into the room holding several things.;a person walks into room holding something,c040 0.00 3.70;c067 0.00 3.70;c097 0.00 4.00;c152 1.00 4.00;c061 0.00 4.00,3.08
EMH48,WG9D,Hallway,5,6,Yes,Person is holding a towel and walking towards the sofa.,towel;wardrobe,Person is walking with a tower in hand the person is going down the hall,c033 0.00 4.00,2.83
FW5KJ,HJJ4,Garage,6,7,Yes,A person smiles as they put their sandwich down on a table.,bread;dish;food;sandwich;table,"A person standing holding a slice of bread laughing,the person proceeds to lay the slice of bread on a table.;Person standing up by a table smiling then pick up a sandwich from a dish and put it back down.",c009 0.00 4.40;c152 0.00 5.00;c061 0.00 4.00,4
IADJE,5LWB,Hallway,5,6,Yes,Person is doing homework on floor. Another person is standing with groceries in hand and sneezing.,bag;floor;homework;paper,A person is sitting on the floor doing homework while a different person is standing holding a bag.;A person is sitting on the floor doing homework. While another person is holding a bag.,c125 0.00 4.00;c145 0.00 4.00;c020 0.00 4.00;c115 0.00 4.00,2.5
KDYNB,WG9D,Bathroom,6,7,Yes,"A person is standing by the light switch in the bathroom. That person is holding a book, reading the back cover of it.",book;light,A person flips a book around to look at the back cover of it.,c032 0.00 4.00;c026 0.00 4.00,3.17
